Logische Periode ; Endzeitstempel ; Wert ; Status ; Tarif 
05.01.2017;12:15:00;312,5;W;T0 
05.01.2017;12:30:00;597,5;W;T0 
05.01.2017;12:45:00;375;W;T0 
05.01.2017;13:00:00;547,5;W;T0 
05.01.2017;13:15:00;420;W;T0 
05.01.2017;13:30:00;562,5;W;T0 
05.01.2017;13:45:00;375;W;T0 
05.01.2017;14:00:00;715;W;T0 
05.01.2017;14:15:00;817,5;W;T0 
05.01.2017;14:30:00;650;W;T0 
05.01.2017;14:45:00;497,5;W;T0 
05.01.2017;15:00:00;415;W;T0 
05.01.2017;15:15:00;507,5;W;T0 
05.01.2017;15:30:00;417,5;W;T0 
05.01.2017;15:45:00;205;W;T0 
05.01.2017;16:00:00;515;W;T0 
05.01.2017;16:15:00;637,5;W;T0 
05.01.2017;16:30:00;610;W;T0 
05.01.2017;16:45:00;762,5;W;T0 
05.01.2017;17:00:00;925;W;T0 
05.01.2017;17:15:00;955;W;T0 
05.01.2017;17:30:00;810;W;T0 
05.01.2017;17:45:00;527,5;W;T0 
05.01.2017;18:00:00;472,5;W;T0 
05.01.2017;18:15:00;480;W;T0 
05.01.2017;18:30:00;697,5;W;T0 
05.01.2017;18:45:00;852,5;W;T0 
05.01.2017;19:00:00;720;W;T0 
05.01.2017;19:15:00;830;W;T0 
05.01.2017;19:30:00;610;W;T0 
05.01.2017;19:45:00;707,5;W;T0 
05.01.2017;20:00:00;755;W;T0 
05.01.2017;20:15:00;717,5;W;T0 
05.01.2017;20:30:00;755;W;T0 
05.01.2017;20:45:00;695;W;T0 
05.01.2017;21:00:00;682,5;W;T0 
05.01.2017;21:15:00;605;W;T0 
05.01.2017;21:30:00;412,5;W;T0 
05.01.2017;21:45:00;375;W;T0 
05.01.2017;22:00:00;362,5;W;T0 
05.01.2017;22:15:00;552,5;W;T0 
05.01.2017;22:30:00;582,5;W;T0 
05.01.2017;22:45:00;492,5;W;T0 
05.01.2017;23:00:00;440;W;T0 
05.01.2017;23:15:00;622,5;W;T0 
05.01.2017;23:30:00;582,5;W;T0 
05.01.2017;23:45:00;687,5;W;T0 
06.01.2017;00:00:00;727,5;W;T0 
06.01.2017;00:15:00;730;W;T0 
06.01.2017;00:30:00;787,5;W;T0 
06.01.2017;00:45:00;717,5;W;T0 
06.01.2017;01:00:00;687,5;W;T0 
06.01.2017;01:15:00;607,5;W;T0 
06.01.2017;01:30:00;620;W;T0 
06.01.2017;01:45:00;532,5;W;T0 
06.01.2017;02:00:00;482,5;W;T0 
06.01.2017;02:15:00;542,5;W;T0 
06.01.2017;02:30:00;345;W;T0 
06.01.2017;02:45:00;375;W;T0 
06.01.2017;03:00:00;357,5;W;T0 
06.01.2017;03:15:00;382,5;W;T0 
06.01.2017;03:30:00;400;W;T0 
06.01.2017;03:45:00;262,5;W;T0 
06.01.2017;04:00:00;370;W;T0 
06.01.2017;04:15:00;485;W;T0 
06.01.2017;04:30:00;350;W;T0 
06.01.2017;04:45:00;452,5;W;T0 
06.01.2017;05:00:00;310;W;T0 
06.01.2017;05:15:00;265;W;T0 
06.01.2017;05:30:00;250;W;T0 
06.01.2017;05:45:00;377,5;W;T0 
06.01.2017;06:00:00;247,5;W;T0 
06.01.2017;06:15:00;302,5;W;T0 
06.01.2017;06:30:00;320;W;T0 
06.01.2017;06:45:00;257,5;W;T0 
06.01.2017;07:00:00;292,5;W;T0 
06.01.2017;07:15:00;272,5;W;T0 
06.01.2017;07:30:00;307,5;W;T0 
06.01.2017;07:45:00;312,5;W;T0 
06.01.2017;08:00:00;352,5;W;T0 
